Training 1x1_20_at0.01 for 20 epochs
epoch 8, average loss 0.016640868139348095
epoch 9, average loss 0.014097549205700352
epoch 10, average loss 0.012567120812254681
epoch 11, average loss 0.011583334174395105
epoch 12, average loss 0.010912502429923795
epoch 13, average loss 0.010431599658844937
epoch 14, average loss 0.010072463957623231
epoch 15, average loss 0.009795213645082053
epoch 16, average loss 0.009575319661988782
epoch 17, average loss 0.009397033065617318
epoch 18, average loss 0.009249797140264337
epoch 19, average loss 0.00912630565266572
Saving model to outputs/src/ae/autoencoder/ae01_test1x4_20_at0.01.pth
Training 3x2_20_at0.01 for 20 epochs
epoch 0, average loss 0.16509561352263968
epoch 1, average loss 0.14803954303074437
epoch 2, average loss 0.13554911309567927
epoch 3, average loss 0.12910217020448084
epoch 4, average loss 0.12413880474552198
epoch 5, average loss 0.11691273656581436
epoch 6, average loss 0.10654494112676328
epoch 7, average loss 0.09536980340878169
epoch 8, average loss 0.08537113772531799
epoch 9, average loss 0.07614787359226931
epoch 10, average loss 0.06769213069079293
epoch 11, average loss 0.060927169210090115
epoch 12, average loss 0.055992328444378334
epoch 13, average loss 0.052377277634920436
epoch 14, average loss 0.04960966346835768
epoch 15, average loss 0.04739681922889373
epoch 16, average loss 0.045551469324397166
epoch 17, average loss 0.04394729283229971
epoch 18, average loss 0.042522810976365
epoch 19, average loss 0.04133112731322579
Saving model to outputs/src/ae/autoencoder/ae01_test3x2_20_at0.01.pth
Training 3x4_20_at0.01 for 20 epochs
epoch 0, average loss 0.15743804169824352
epoch 1, average loss 0.12509812108400437
epoch 2, average loss 0.08918767563394599
epoch 3, average loss 0.05740723732786181
epoch 4, average loss 0.03765571525938496
epoch 5, average loss 0.028482584787921438
epoch 6, average loss 0.024067943151858454
epoch 7, average loss 0.021638065095160256
epoch 8, average loss 0.020144916129929177
epoch 9, average loss 0.019151828371165965
epoch 10, average loss 0.01845207686872325
epoch 11, average loss 0.017938437330286234
epoch 12, average loss 0.017547870589897048
epoch 13, average loss 0.017242075283885806
epoch 14, average loss 0.01699581402864352
epoch 15, average loss 0.016792174907996914
epoch 16, average loss 0.01662010699126019
epoch 17, average loss 0.0164719006316191
epoch 18, average loss 0.01634209349072558
epoch 19, average loss 0.01622713057423226
Saving model to outputs/src/ae/autoencoder/ae01_test3x4_20_at0.01.pth
Training 3x6_20_at0.01 for 20 epochs
epoch 0, average loss 0.15997011621703613
epoch 1, average loss 0.12558803886633824
epoch 2, average loss 0.08071839656714383
epoch 3, average loss 0.050016970971498535
epoch 4, average loss 0.03485423170572689
epoch 5, average loss 0.027426555966007505
epoch 6, average loss 0.023456572550460807
epoch 7, average loss 0.02110714278957882
epoch 8, average loss 0.01958250707713188
epoch 9, average loss 0.018523986338408436
epoch 10, average loss 0.017741251412629465
epoch 11, average loss 0.01713505462801375
epoch 12, average loss 0.016649333998304303
epoch 13, average loss 0.016248674521204532
epoch 14, average loss 0.015910683025140315
epoch 15, average loss 0.015620647192486582
epoch 16, average loss 0.01537094545467091
epoch 17, average loss 0.015151261965280634
epoch 18, average loss 0.014953992127384236
epoch 19, average loss 0.014775032166904817
Saving model to outputs/src/ae/autoencoder/ae01_test3x6_20_at0.01.pth
Training 3x12_20_at0.01 for 20 epochs
epoch 0, average loss 0.15276761833220362
epoch 1, average loss 0.08724579390406877
epoch 2, average loss 0.0390609262536305
epoch 3, average loss 0.024335039546014042
epoch 4, average loss 0.019611103655966196
epoch 5, average loss 0.017430968740297755
epoch 6, average loss 0.016155650754257834
epoch 7, average loss 0.015297338447789452
epoch 8, average loss 0.01466531227758803
epoch 9, average loss 0.01416952715953812
epoch 10, average loss 0.01376334252718671
epoch 11, average loss 0.013419028749135701
epoch 12, average loss 0.013118854344996565
epoch 13, average loss 0.01285185349522041
epoch 14, average loss 0.012610690119535055
epoch 15, average loss 0.012390370339304823
epoch 16, average loss 0.01218720315343787
epoch 17, average loss 0.01199846139510495
epoch 18, average loss 0.011822096369643178
epoch 19, average loss 0.011656548403127975
Saving model to outputs/src/ae/autoencoder/ae01_test3x12_20_at0.01.pth
Training 3x24_20_at0.01 for 20 epochs
epoch 0, average loss 0.13030769413074217
epoch 1, average loss 0.05564798290111326
epoch 2, average loss 0.027669570870577236
epoch 3, average loss 0.020148992580403615
epoch 4, average loss 0.017188776774064836
epoch 5, average loss 0.015532924881409126
epoch 6, average loss 0.014430634967224847
epoch 7, average loss 0.013614371759896013
epoch 8, average loss 0.012968792846634727
epoch 9, average loss 0.012437514911210668
epoch 10, average loss 0.01198855930561404
epoch 11, average loss 0.011601779190403921
epoch 12, average loss 0.011265037494537479
epoch 13, average loss 0.010969984165970347
epoch 14, average loss 0.010709961886717323
epoch 15, average loss 0.010480161965684825
epoch 16, average loss 0.010276295012955598
epoch 17, average loss 0.010094734458118194
epoch 18, average loss 0.009932671811118059
epoch 19, average loss 0.00978767784938493
Saving model to outputs/src/ae/autoencoder/ae01_test3x24_20_at0.01.pth

real	14m44.848s
user	97m41.742s
sys	2m25.628s
